,Class of Rating,Name,Rating Score,Review Number,URL
0,Excellent,Oakwood Boston,8.7,85 reviews,http://booking.com/hotel/us/oakwood-boston.html#hotelTmpl
1,Very Good,14 Gloucester St #2B by Lyon Apartments,8.1,"2,805 reviews",http://booking.com/hotel/us/14-gloucester-st-2b-by-lyon-apartments-boston.html#hotelTmpl
2,Very Good,14 Gloucester St #2A by Lyon Apartments,10,42 reviews,http://booking.com/hotel/us/14-gloucester-st-2a-by-lyon-apartments-boston.html#hotelTmpl
3,Awesome,Seaport Boston Hotel,9.1,"1,921 reviews",http://booking.com/hotel/us/seaport.html#hotelTmpl
4,Very Good,Longfellow Place Apartment by Stay Alfred,8.5,205 reviews,http://booking.com/hotel/us/longfellow-by-stay-alfred.html#hotelTmpl
5,Good,Clearway Street by Boston Furnished Rooms,7.3,136 reviews,http://booking.com/hotel/us/clearway-street-by-boston-furnished-rooms.html#hotelTmpl
6,Very Good,The Copley House,8.1,"2,805 reviews",http://booking.com/hotel/us/the-c-house-boston-massachusettes.html#hotelTmpl
7,Exceptional,Two Bedroom Boston Luxury Apartment,9.8,24 reviews,http://booking.com/hotel/us/two-bedroom-boston-luxury-apartment.html#hotelTmpl
8,Very Good,Aloft Boston Seaport,8.5,765 reviews,http://booking.com/hotel/us/aloft-boston-seaport.html#hotelTmpl
9,Very Good,112 Myrtle St #7 by Lyon Apartments,8.0,15 reviews,http://booking.com/hotel/us/112-myrtle-st-7.html#hotelTmpl
10,Very Good,14 Gloucester St #4A by Lyon Apartments,8.8,42 reviews,http://booking.com/hotel/us/14-gloucester-st-4a-by-lyon-apartments.html#hotelTmpl
11,Review score,Ramada Boston,6.9,"2,252 reviews",http://booking.com/hotel/us/r-boston-massachusettes.html#hotelTmpl
12,Very Good,Hilton Boston Logan Airport,8.1,"2,169 reviews",http://booking.com/hotel/us/hilton-logan-airport.html#hotelTmpl
13,Very Good,Hyatt Regency Boston,8.5,"1,382 reviews",http://booking.com/hotel/us/hyatt-regency-boston.html#hotelTmpl
14,Very Good,Boston Harbor View Luxury Suites,8.2,172 reviews,http://booking.com/hotel/us/boston-harbor-view-luxury-suites.html#hotelTmpl
15,Very Good,Hilton Boston Downtown/Faneuil Hall,8.5,710 reviews,http://booking.com/hotel/us/hilton-boston-fin-district.html#hotelTmpl
16,Very Good,102 Chandler #8 By Lyon Apartments,8.4,334 reviews,http://booking.com/hotel/us/102-chandler-8-by-lyon-apartments.html#hotelTmpl
17,Very Good,102 Chandler #9 By Lyon Apartments,8.5,"1,986 reviews",http://booking.com/hotel/us/102-chandler-9-by-lyon-apartments.html#hotelTmpl
18,Good,102 Chandler #4 By Lyon Apartments,7.3,136 reviews,http://booking.com/hotel/us/102-chandler-4-by-lyon-apartments.html#hotelTmpl
19,Very Good,102 Chandler #5 By Lyon Apartments,8.1,"2,805 reviews",http://booking.com/hotel/us/102-chandler-5-by-lyon-apartments.html#hotelTmpl
